symbol,period_ending,total_revenue,cost_of_revenue,gross_profit,research_and_development,"sales,_general_and_admin.",non-recurring_items,other_operating_items,operating_income,add'l_income/expense_items,earnings_before_interest_and_tax,interest_expense,earnings_before_tax,income_tax,minority_interest,equity_earnings/loss_unconsolidated_subsidiary,net_income-cont._operations,net_income,net_income_applicable_to_common_shareholders
SUNW,31-12-2019,59830,53167,6663,270736,14648,215156,353,-8338,15,-8323,863,-9186,136211,75630,-32034,-9186,-9186,-10616
SUP,31-12-2022,1639902,1473515,166387,270736,68347,215156,534329,98040,-588,97452,46314,51138,14104,75630,-32034,37034,37034,37034
SUP,31-12-2021,1384750,1270035,114715,270736,59339,215156,534329,55376,-2306,53070,41879,11191,7437,75630,-32034,3754,3754,3754
SUP,31-12-2020,1100760,1035134,65626,270736,52420,193641,534329,-180435,-2827,-183262,45418,-228680,14881,75630,-32034,-243561,-243561,-243561
SUP,31-12-2019,1372487,1256425,116062,270736,63883,102238,534329,-50059,4033,-46026,47011,-93037,3423,75630,-32034,-96460,-96460,-96460
SUPN,31-12-2022,667238,87221,580017,74552,376711,215156,82630,46124,21689,67813,7070,60743,32,75630,-32034,60711,60711,60711
SUPN,31-12-2021,579775,75061,504714,90467,298229,215156,29989,86029,10569,96598,23423,73175,19751,75630,-32034,53424,53424,53424
SUPN,31-12-2020,520397,52459,467938,75961,202577,215156,15702,173698,18704,192402,23754,168648,41698,75630,-32034,126950,126950,126950
SUPN,31-12-2019,392755,16660,376095,69099,153246,215156,5179,148571,21623,170194,22707,147487,34431,75630,-32034,113056,113056,113056
SUPV,31-12-2022,1638714,3188738,1963046,270736,615899,80010,57017,478735,41948,885788,155791,-48672,-20247,75630,28394,-31,-31,-31
SUPV,31-12-2021,2370961,3188738,1963046,270736,1001453,169389,80146,478735,41948,1119972,155791,-27627,5309,75630,32902,-34,-34,-34
SUPV,31-12-2020,2757432,3188738,1963046,270736,1226532,301300,84183,478735,41948,1145417,155791,145927,23492,75630,-122404,31,31,31
SUPV,31-12-2019,2422281,3188738,1963046,270736,964302,215156,327823,478735,41948,1130156,155791,-68126,5790,75630,73846,-69,-69,-69
SURG,31-12-2022,121544,108075,13469,270736,12836,215156,534329,634,656,1290,1843,-553,136211,75630,-128,-681,-681,-681
